normal_mu,normal_coh,hang-up_mu,hang-up_coh,,,,
2.5,1.00E+04,10,2.00E+04,,,,
2.5,3.00E+04,10,1.00E+04,,,1,7.00E+04
2.5,3.50E+04,10,0.00E+00,,,2,4.75E+04
2,4.00E+04,6,0.00E+00,,,2.5,3.75E+04
2,4.50E+04,5,0.00E+00,,,3.5,0.00E+00
1,5.50E+04,3.5,0.00E+00,,,5,0.00E+00
1,6.50E+04,2.5,5.00E+04,,,6,0.00E+00
3.5,0.00E+00,2.5,4.00E+04,,,10,0
,,2,5.00E+04,,,,
,,1,8.50E+04,,,,
,,1,7.50E+04,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
