normal_mu,normal_coh,hang-up_mu,hang-up_coh,
2,0.00E+00,2,5.00E+04,1
1,8.00E+04,2,0,1
1,9.00E+04,1,1.80E+05,1
1,7.00E+04,1,1.50E+05,1
0,1.15E+05,1,1.35E+05,1
0,1.00E+05,1,1.20E+05,1
,,1,1.00E+05,1
,,0,2.00E+05,1
,,0,1.50E+05,1
,,0,1.40E+05,1
,,0,1.30E+05,1
,,0,1.23E+05,1
,,,,1
,,,,1
,,,,1
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
