1出口,２　出口root,３　立坑底部,,,
0,1.00E+05,0,1.50E+05,2,
0,1.25E+05,1,1.00E+05,2,
0,1.45E+05,1,5.50E+04,2,
1,5.00E+04,1,6.00E+04,2,
1,5.25E+04,1,6.70E+04,2,
2,0.00E+00,1,7.50E+04,2,
,,,,3,ɖ
,,3,0.00E+00,2,
3,0.00E+00,4,0.00E+00,2,
4,0.00E+00,5,0.00E+00,2,
5,0.00E+00,6,0.00E+00,2,
6,0.00E+00,7,0.00E+00,1,
7,0.00E+00,8,0.00E+00,1,
8,0.00E+00,9,0.00E+00,1,
9,0.00E+00,10,0.00E+00,,
10,0.00E+00,2,4.00E+04,,
,,2,1.00E+05,,
,,2,0.00E+00,,
,,,,,
,,,,,
,,,,,
