normal_mu,normal_coh,hang-up_mu,hang-up_coh,
10,0,0,1.20E+05,1
9,0,0,1.50E+05,1
8,0,10,0,1
7,0,9,0,1
6,0,8,0,1
5,0,7,0,1
4,0,6,0,1
3,0,5,0,1
2,0,4,0,1
1,6.50E+04,3,0,1
1,6.00E+04,2,0,1
0,1.00E+05,1,,1
1,,0,1.80E+05,1
,,,,1
,,,,1
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
