normal_mu,normal_coh,hang-up_mu,hang-up_coh,
1,5.00E+04,1,6.00E+04,3
1,5.50E+04,10,0,3
10,0,9,0,3
9,0,8,0,3
8,0,7,0,3
7,0,6,0,3
6,0,5,0,3
5,0,4,0,3
4,0,3,0,3
3,0,2,6.00E+04,3
2,5.00E+04,1,5.75E+04,3
2,5.50E+04,1,5.85E+04,2
0,1.00E+05,0,1.50E+05,2
0,7.50E+04,,,3
0,6.50E+04,,,3
