0,1.05E+05,0,1.10E+05
0,1.00E+05,1,8.00E+04
0,9.00E+04,2,6.00E+04
1,7.50E+04,8,4.00E+04
1,7.00E+04,8,6.00E+04
1,6.00E+04,8,7.00E+04
2,5.50E+04,8,8.00E+04
2,5.00E+04,8,8.50E+04
2,4.00E+04,4,6.00E+04
8,3.50E+04,4,7.00E+04
8,3.00E+04,4,5.00E+04
8,2.00E+04,10,5.00E+04
4,4.00E+04,10,4.00E+04
,,5,4.00E+04
4,5.50E+04,4,4.50E+04
10,3.50E+04,,
5,3.50E+04,,
5,3.75E+04,,
,,,
,,,
,,,
,,,
,,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"	2.75E+04	0								",,,
"	2.75E+04	5								",,,
"	2.75E+04	10								",,,
