10,3.50E+04,10,6.00E+04
5,4.00E+04,10,5.50E+04
3,4.00E+04,10,4.50E+04
2,5.50E+04,10,4.00E+04
1,7.00E+04,5,4.50E+04
0,1.50E+05,3,5.00E+04
0,1.60E+05,3,4.50E+04
,,2,6.50E+04
,,2,6.00E+04
,,1,7.50E+04
,,0,2.00E+05
,,0,1.75E+05
,,0,1.65E+05
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"	2.75E+04	0								",,,
"	2.75E+04	5								",,,
"	2.75E+04	10								",,,
