0,1.20E+05,0,1.72E+05
0,1.50E+05,0,1.80E+05
0,1.65E+05,1,8.00E+04
1,6.00E+04,1,1.00E+05
1,7.00E+04,1,1.30E+05
1,7.50E+04,1,1.60E+05
2,5.50E+04,2,6.00E+04
2,5.00E+04,5,5.00E+04
2,4.00E+04,5,4.50E+04
5,4.00E+04,5,4.10E+04
10,3.50E+04,10,4.50E+04
8,4.00E+04,10,5.00E+04
,,10,4.00E+04
3,4.00E+04,8,4.50E+04
,,8,4.15E+04
,,8,4.10E+04
,,8,4.05E+04
,,3,5.00E+04
,,3,4.50E+04
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"						267				",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"										",,,
"2.75E+04	0									",,,
"2.75E+04	5									",,,
"2.75E+04	10									",,,
