摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,粘度,摩擦係数,,粒子数,,粘度,摩擦係数,,限界粘着力
10,5.50E+04,10,6.50E+04,,6.00E+04,10,,,,,,,
10,6.00E+04,8,6.50E+04,,6.25E+04,8,,,,,,,
8,6.00E+04,5,7.50E+04,,7.25E+04,5,,,,,,,
5,6.50E+04,3,8.00E+04,,7.75E+04,3,,,,,,,
5,7.00E+04,3,8.50E+04,,8.75E+04,1.5,,,,,,,
3,7.50E+04,3,8.00E+04,,9.25E+04,0.5,,,,,,,
1.5,8.50E+04,1.5,9.00E+04,,1.23E+05,0,,,,,,,
0,1.20E+05,0.5,9.50E+04,,,,,,,,,,
0.5,8.50E+04,0,1.25E+05,,,,,,,,,,
0.5,9.00E+04,.,,,,,,,,,,,
,,,,,,,,,,,,,
