摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,線ｘ,線ｙ,,限界粘着力
10,4.50E+04,10,5.00E+04,,4.75E+04,10,,,,4.25E+04,10,,4.25E+04
8,4.00E+04,8,4.50E+04,,4.25E+04,8,,,,4.25E+04,8,,
6,4.00E+04,8,4.50E+04,,4.25E+04,6,,,,4.25E+04,6,,
4,4.00E+04,6,4.50E+04,,4.25E+04,4,,,,4.40E+04,4,,
4,4.50E+04,4,6.00E+04,,5.75E+04,2,,,,5.75E+04,2,,
4,5.00E+04,4,5.50E+04,,7.25E+04,1,,,,7.25E+04,1,,
2,5.50E+04,2,7.00E+04,,,0.5,,,,,0.5,,
1,7.00E+04,2,6.00E+04,,,,,,,,,,
0.5,8.50E+04,1,8.00E+04,,,,,,,,,,
0.5,1.00E+05,1,7.50E+04,,,,,,,,,,
0.5,1.05E+05,0.5,1.25E+05,,,,,,,,,,
,,0.5,1.10E+05,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,0,4.25E+04,,,,,,
,,,,,,5,4.25E+04,,,,,,
,,,,,,10,4.25E+04,,,,,,
