摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,摩擦係数,粘度,,粒子数,,限界粘着力
2,7.00E+04,2,9.00E+04,,0,5.00E+06,,24205,,7.50E+04
4,7.00E+04,2,7.00E+04,,0.5,1.30E+05,,,,
7,7.00E+04,4,8.00E+04,,1,9.00E+04,,,,
10,7.00E+04,7,8.00E+04,,2,7.80E+04,,,,
0,1.20E+05,10,8.00E+04,,4,7.50E+04,,,,
0,1.60E+05,0,1.00E+06,,7,7.50E+04,,,,
0,1.80E+05,0.5,1.50E+05,,10,7.50E+04,,,,
0,1.90E+05,0.5,1.35E+05,,,,,,,
0,2.00E+05,0.5,1.40E+05,,,,,,,
0,4.00E+05,1,1.20E+05,,,,,,,
0.5,7.00E+04,1,1.00E+05,,,,,,,
0.5,9.00E+04,10,7.50E+04,,,,,,,
0.5,1.10E+05,7,7.50E+04,,,,,,,
0.5,1.25E+05,4,7.50E+04,,,,,,,
1,8.00E+04,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,10,7.50E+04,,,,,,
,,,5,7.50E+04,,,,,,
,,,0,7.50E+04,,,,,,
