摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,摩擦係数,粘度,,粒子数,,限界粘着力
0,1.00E+05,0,2.50E+05,,0,2.05E+05,,14810,,2.75E+04
0,1.20E+05,0,2.10E+05,,0.5,6.50E+04,,,,
0,2.00E+05,2,2.00E+05,,1,4.50E+04,,,,
2,2.00E+04,2,1.50E+05,,2,3.50E+04,,,,
2,3.00E+04,2,1.20E+05,,3,3.00E+04,,,,
4,3.00E+04,2,1.00E+05,,4,3.00E+04,,,,
7,2.00E+04,2,8.00E+04,,7,2.75E+04,,,,
10,2.00E+04,2,6.00E+04,,10,2.75E+04,,,,
10,2.50E+04,2,4.00E+04,,,,,,,
3,3.00E+04,4,4.00E+04,,,,,,,
1,4.00E+04,7,3.00E+04,,,,,,,
0.5,6.00E+04,10,3.00E+04,,,,,,,
,,3,4.00E+04,,,,,,,
,,1,9.00E+04,,,,,,,
,,1,8.00E+04,,,,,,,
,,1,7.00E+04,,,,,,,
,,1,6.00E+04,,,,,,,
,,1,5.00E+04,,,,,,,
,,0.5,7.00E+04,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2.75E+04,0,,,,,,,,
,2.75E+04,5,,,,,,,,
,2.75E+04,10,,,,,,,,
