摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,摩擦係数,粘度,,粒子数,,摩擦係数,粘度,,限界粘着力
10,2.00E+04,10,8.00E+04,,10,3.25E+04,,7415,,10,30000,,3.00E+04
10,3.00E+04,10,6.00E+04,,8,3.25E+04,,,,8,30000,,
8,3.00E+04,10,4.00E+04,,5,3.25E+04,,,,5,30000,,
5,3.00E+04,10,3.50E+04,,3,2.75E+04,,,,3,30000,,
3,2.50E+04,8,3.50E+04,,2,3.25E+04,,,,2,32500,,
2,2.50E+04,5,3.50E+04,,1,4.50E+04,,,,1,45000,,
2,3.00E+04,3,3.00E+04,,0.5,5.75E+04,,,,0.5,57500,,
1,3.50E+04,2,4.00E+04,,,,,,,0,2.50E+05,,
1,4.00E+04,2,3.50E+04,,,,,,,,,,
1,4.50E+04,1,4.50E+04,,,,,,,,,,
0.5,5.00E+04,0.5,6.00E+04,,,,,,,,,,
0.5,5.50E+04,,,,,,,,,,,,
0,7.00E+04,,,,,,,,,,,,
0,1.00E+05,,,,,,,,,,,,
0,1.25E+05,,,,,,,,,,,,
0,1.40E+05,,,,,,,,,,,,
0,1.45E+05,,,,,,,,,,,,
0,1.75E+05,,,,,,,,,,,,
0,2.00E+05,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3.00E+04,0,,,,,,,,,,,,
3.00E+04,5,,,,,,,,,,,,
3.00E+04,10,,,,,,,,,,,,
