摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,限界粘着力
0,1.10E+05,0,1.50E+05,,1.18E+05,0,,19754,,4.40E+04
0,1.15E+05,0,1.20E+05,,7.75E+04,1,,,,
0,1.20E+05,0,1.30E+05,,6.25E+04,2,,,,
2,6.00E+04,0,1.25E+05,,4.75E+04,4,,,,
4,4.00E+04,0,1.18E+05,,4.25E+04,7,,,,
4,4.50E+04,0,1.17E+05,,4.25E+04,10,,,,
7,2.00E+04,0,1.16E+05,,,,,,,
7,3.00E+04,2,1.00E+05,,,,,,,
7,4.00E+04,2,9.00E+04,,,,,,,
,,2,8.00E+04,,,,,,,
10,3.00E+04,2,7.00E+04,,,,,,,
10,3.80E+04,2,6.50E+04,,,,,,,
10,4.00E+04,4,6.00E+04,,,,,,,
1,7.00E+04,4,5.00E+04,,,,,,,
1,7.50E+04,7,7.00E+04,,,,,,,
,,7,6.00E+04,,,,,,,
,,10,4.50E+04,,,,,,,
,,7,5.00E+04,,,,,,,
,,7,4.50E+04,,,,,,,
,,1,9.00E+04,,,,,,,
,,1,8.50E+04,,,,,,,
,,1,8.00E+04,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,4.40E+04,0,,,,,,,,
,4.40E+04,5,,,,,,,,
,4.40E+04,10,,,,,,,,
