摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,線ｘ,線ｙ,,限界粘着力
0,6.50E+04,0,1.00E+05,,6.75E+04,0,,6589,,67500,0,,5.50E+04
0,5.00E+04,0,8.00E+04,,5.75E+04,2,,,,57500,2,,
4,5.00E+04,0,7.00E+04,,5.75E+04,4,,,,5.50E+04,4,,
4,5.50E+04,4,6.50E+04,,5.25E+04,8,,,,5.50E+04,8,,
2,5.00E+04,4,6.00E+04,,5.25E+04,10,,,,5.50E+04,10,,
2,5.50E+04,2,6.00E+04,,,,,,,,,,
8,3.00E+04,8,6.00E+04,,,,,,,,,,
8,4.00E+04,8,5.50E+04,,,,,,,,,,
8,5.00E+04,10,5.50E+04,,,,,,,,,,
,,,,,,,,,,,,,
10,4.50E+04,,,,,,,,,,,,
10,5.00E+04,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,5.50E+04,0,,,,,,,,,
,,,5.50E+04,5,,,,,,,,,
,,,5.50E+04,10,,,,,,,,,
