摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,限界粘着力
,,,,,1.45E+05,0.5,,41119,,7.50E+04
2,8.00E+04,2,1.00E+05,,9.00E+04,2,,,,
4,7.00E+04,4,9.00E+04,,7.50E+04,4,,,,
7,7.00E+04,4,8.00E+04,,7.50E+04,7,,,,
10,7.00E+04,7,8.00E+04,,7.50E+04,10,,,,
0.5,1.40E+05,10,8.00E+04,,,,,,,
0,1.00E+05,0.5,2.00E+05,,,,,,,
0,1.30E+05,0.5,1.70E+05,,,,,,,
0,1.10E+05,0.5,1.50E+05,,,,,,,
0,1.60E+05,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,7.50E+04,0,,,,,,,,
,7.50E+04,5,,,,,,,,
,7.50E+04,10,,,,,,,,
