摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,限界粘着力
10,5.00E+04,10,6.00E+04,,5.25E+04,10,,13201,,5.25E+04
5,5.00E+04,10,5.50E+04,,5.25E+04,5,,,,
2,5.00E+04,5,5.50E+04,,6.50E+04,2,,,,
2,6.00E+04,2,7.00E+04,,7.50E+04,1,,,,
1,7.00E+04,1,8.00E+04,,1.15E+05,0,,,,
0,1.10E+05,0,1.20E+05,,,,,,,
0,8.00E+04,4,6.50E+04,,,,,,,
4,5.50E+04,7,5.50E+04,,,,,,,
4,5.00E+04,4,6.00E+04,,,,,,,
7,5.00E+04,2,7.50E+04,,,,,,,
2,6.50E+04,1,7.50E+04,,,,,,,
0,1.15E+05,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,5.25E+04,0,,,,,,,
,,5.25E+04,5,,,,,,,
,,5.25E+04,10,,,,,,,
