摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,線ｘ,線ｙ,,粒子数,,線ｘ,線ｙ,,限界粘着力
10,8.00E+04,10,9.00E+04,,8.25E+04,10,,,,8.75E+04,10,,8.75E+04
8,8.50E+04,10,8.50E+04,,8.75E+04,8,,,,8.75E+04,8,,
6,8.50E+04,8,9.00E+04,,8.75E+04,6,,,,8.75E+04,6,,
4,8.50E+04,6,9.00E+04,,8.75E+04,4,,,,8.75E+04,4,,
2,9.00E+04,4,9.00E+04,,9.75E+04,2,,,,8.90E+04,2,,
2,9.00E+00,2,1.00E+05,,9.25E+04,1,,,,9.25E+04,1,,
2,9.50E+04,1,1.05E+05,,1.08E+05,0,,,,1.08E+05,0,,
1,8.50E+04,1,1.00E+05,,,,,,,,,,
1,9.00E+04,1,9.50E+04,,,,,,,,,,
0,1.00E+05,0,1.20E+05,,,,,,,,,,
0,1.05E+05,0,1.10E+05,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,0,8.75E+04,,,,,,
,,,,,,5,8.75E+04,,,,,,
,,,,,,10,8.75E+04,,,,,,
